title,author,year,country,language,pages,imageLink,price
Journey to the End of the Night,Louis-Ferdinand Céline,1932,France,French,505,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,303
Don Quijote De La Mancha,Miguel de Cervantes,1610,Spain,Spanish,1056,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,578
The Canterbury Tales,Geoffrey Chaucer,1450,England,English,544,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,322
Stories,Anton Chekhov,1886,Russia,Russian,194,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,147
Nostromo,Joseph Conrad,1904,United Kingdom,English,320,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,210
Great Expectations,Charles Dickens,1861,United Kingdom,English,194,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,147
Jacques the Fatalist,Denis Diderot,1796,France,French,596,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,348
Berlin Alexanderplatz,Alfred Döblin,1929,Germany,German,600,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,350
Crime and Punishment,Fyodor Dostoevsky,1866,Russia,Russian,551,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,326
The Idiot,Fyodor Dostoevsky,1869,Russia,Russian,656,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,378
The Possessed,Fyodor Dostoevsky,1872,Russia,Russian,768,https://www.adobe.com/express/create/cover/media_17faf55f76c72eca316ef81b873dbcc2eee0cb309.jpeg?width=400&format=jpeg&optimize=medium,434
The Brothers Karamazov,Fyodor Dostoevsky,1880,Russia,Russian,824,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,462
Middlemarch,George Eliot,1871,United Kingdom,English,800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,450
Invisible Man,Ralph Ellison,1952,United States,English,581,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,341
Medea,Euripides,-431,Greece,Greek,104,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,102
"Absalom, Absalom!",William Faulkner,1936,United States,English,313,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,207
The Sound and the Fury,William Faulkner,1929,United States,English,326,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,213
Madame Bovary,Gustave Flaubert,1857,France,French,528,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,314
Sentimental Education,Gustave Flaubert,1869,France,French,606,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,353
Gypsy Ballads,Federico García Lorca,1928,Spain,Spanish,218,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,159
One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombia,Spanish,417,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,259
Love in the Time of Cholera,Gabriel García Márquez,1985,Colombia,Spanish,368,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,234
Faust,Johann Wolfgang von Goethe,1832,Saxe-Weimar,German,158,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJCCIfQzINPm2EFFDN46JrGjJqTHn6BYtavw&usqp=CAU,129
Dead Souls,Nikolai Gogol,1842,Russia,Russian,432,https://edit.org/images/cat/book-covers-big-2019101610.jpg,266
The Tin Drum,Günter Grass,1959,Germany,German,600,https://edit.org/images/cat/book-covers-big-2019101610.jpg,350
The Devil to Pay in the Backlands,João Guimarães Rosa,1956,Brazil,Portuguese,494,https://edit.org/images/cat/book-covers-big-2019101610.jpg,297
Hunger,Knut Hamsun,1890,Norway,Norwegian,176,https://edit.org/images/cat/book-covers-big-2019101610.jpg,138
The Old Man and the Sea,Ernest Hemingway,1952,United States,English,128,https://edit.org/images/cat/book-covers-big-2019101610.jpg,114
Iliad,Homer,-735,Greece,Greek,608,https://edit.org/images/cat/book-covers-big-2019101610.jpg,354
Odyssey,Homer,-800,Greece,Greek,374,https://edit.org/images/cat/book-covers-big-2019101610.jpg,237
A Doll's House,Henrik Ibsen,1879,Norway,Norwegian,68,https://edit.org/images/cat/book-covers-big-2019101610.jpg,84
Ulysses,James Joyce,1922,Irish Free State,English,228,https://edit.org/images/cat/book-covers-big-2019101610.jpg,164
Stories,Franz Kafka,1924,Czechoslovakia,German,488,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,294
The Trial,Franz Kafka,1925,Czechoslovakia,German,160,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,130
The Castle,Franz Kafka,1926,Czechoslovakia,German,352,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,226
The recognition of Shakuntala,Kālidāsa,150,India,Sanskrit,147,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,124
The Sound of the Mountain,Yasunari Kawabata,1954,Japan,Japanese,288,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,194
Zorba the Greek,Nikos Kazantzakis,1946,Greece,Greek,368,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,234
Sons and Lovers,D. H. Lawrence,1913,United Kingdom,English,432,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,266
Independent People,Halldór Laxness,1934,Iceland,Icelandic,470,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,285
Poems,Giacomo Leopardi,1818,Italy,Italian,184,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,142
The Golden Notebook,Doris Lessing,1962,United Kingdom,English,688,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,394
Pippi Longstocking,Astrid Lindgren,1945,Sweden,Swedish,160,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,130
Diary of a Madman,Lu Xun,1918,China,Chinese,389,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,245
Children of Gebelawi,Naguib Mahfouz,1959,Egypt,Arabic,355,https://static-cse.canva.com/blob/921475/PinkandBlackGrungeCreativeWattpadBookCover.jpg,228
Buddenbrooks,Thomas Mann,1901,Germany,German,736,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,418
The Magic Mountain,Thomas Mann,1924,Germany,German,720,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,410
Moby Dick,Herman Melville,1851,United States,English,378,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,239
Essays,Michel de Montaigne,1595,France,French,404,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,252
History,Elsa Morante,1974,Italy,Italian,600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,350
Beloved,Toni Morrison,1987,United States,English,321,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,211
The Tale of Genji,Murasaki Shikibu,1006,Japan,Japanese,1360,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,730
The Man Without Qualities,Robert Musil,1931,Austria,German,365,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,233
Lolita,Vladimir Nabokov,1955,Russia/United States,English,317,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,209
Nineteen Eighty-Four,George Orwell,1949,United Kingdom,English,272,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRB_x0mSo6x3vStdDpw-ELWb1eZ5RuG11Tog&usqp=CAU,186
Metamorphoses,Ovid,100,Roman Empire,Classical Latin,576,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,338
The Book of Disquiet,Fernando Pessoa,1928,Portugal,Portuguese,272,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,186
Tales,Edgar Allan Poe,1950,United States,English,842,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,471
In Search of Lost Time,Marcel Proust,1920,France,French,2408,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,1254
Gargantua and Pantagruel,François Rabelais,1533,France,French,623,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,362
Pedro Páramo,Juan Rulfo,1955,Mexico,Spanish,124,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,112
The Masnavi,Rumi,1236,Sultanate of Rum,Persian,438,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,269
Midnight's Children,Salman Rushdie,1981,"United Kingdom, India",English,536,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,318
Bostan,Saadi,1257,"Persia, Persian Empire",Persian,298,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,199
Season of Migration to the North,Tayeb Salih,1966,Sudan,Arabic,139,https://imgv3.fotor.com/images/gallery/Fiction-Book-Covers.jpg,120
Blindness,José Saramago,1995,Portugal,Portuguese,352,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,226
Hamlet,William Shakespeare,1603,England,English,432,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,266
King Lear,William Shakespeare,1608,England,English,384,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,242
Othello,William Shakespeare,1609,England,English,314,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,207
Oedipus the King,Sophocles,-430,Greece,Greek,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,94
The Red and the Black,Stendhal,1830,France,French,576,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,338
The Life And Opinions of Tristram Shandy,Laurence Sterne,1760,England,English,640,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,370
Confessions of Zeno,Italo Svevo,1923,Italy,Italian,412,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,256
Gulliver's Travels,Jonathan Swift,1726,Ireland,English,178,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,139
War and Peace,Leo Tolstoy,1867,Russia,Russian,1296,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,698
Anna Karenina,Leo Tolstoy,1877,Russia,Russian,864,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,482
The Death of Ivan Ilyich,Leo Tolstoy,1886,Russia,Russian,92,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHCE63nhugHeufRMRUnsXUJ3bDhDzSI7ouO1PfC8kDvjTeBDV32irN48VIpGaSRvXDCi0&usqp=CAU,96
